chunk,feature,importance_gain,importance_split,auc_train,auc_valid
38,f102_nyg_low_normal_AMT_GOODS_PRICE_d_total_debt_max,2139.34246,145,0.82957,0.75644
20,f101_nyg_middle_cnt_unpaid_sum,2131.10691,133,0.83507,0.75998
9,f101_completed_RATE_DOWN_PAYMENT_std,2123.9654,122,0.84133,0.76069
37,f102_nyg_low_normal_AMT_CREDIT_d_total_debt_max,2119.15458,138,0.82991,0.75674
3,f101_approved_AMT_ANNUITY_s_app_AMT_ANNUITY_mean,2116.06717,150,0.84126,0.76227
8,f101_completed_DAYS_DECISION_d_app_DAYS_EMPLOYED_min,2109.36829,75,0.84426,0.76097
54,f103_nyg_high_AMT_CREDIT_d_total_debt_mean,2109.15387,85,0.82715,0.75676
79,f001_OWN_CAR_AGE,2107.16268,145,0.8299,0.75718
92,f105_total_debt_max,2099.18298,183,0.84362,0.76146
36,f001_AMT_ANNUITY-d-CNT_FAM_MEMBERS,2097.78441,224,0.83048,0.7565
21,f101_refused_AMT_CREDIT_d_total_debt_mean,2090.64484,101,0.82963,0.75757
66,f103_refused_AMT_CREDIT_d_total_debt_min,2082.47775,84,0.82046,0.75643
92,f107_AMT_CREDIT-d-AMT_APPLICATION,2080.65682,150,0.84362,0.76146
5,f101_approved_DAYS_TERMINATION_s_DAYS_LAST_DUE_1ST_VERSION_max,2080.13305,147,0.8519,0.76573
6,f101_approved_NAME_YIELD_GROUP_high_mean,2076.0628,134,0.8483,0.76456
22,f101_refused_DAYS_DECISION_s_app_DAYS_LAST_PHONE_CHANGE_max_div_min,2074.72968,121,0.83088,0.75733
6,f101_completed_AMT_ANNUITY_s_app_AMT_ANNUITY_max,2074.40069,98,0.8483,0.76456
8,f101_completed_AMT_GOODS_PRICE_s_app_AMT_ANNUITY_max,2073.62455,141,0.84426,0.76097
15,f101_nyg_low_normal_AMT_CREDIT_d_AMT_ANNUITY_max,2067.69053,132,0.83389,0.75746
3,f101_approved_AMT_ANNUITY_s_app_AMT_ANNUITY_d_app_AMT_INCOME_TOTAL_mean,2064.86401,162,0.84126,0.76227
52,f103_completed_AMT_GOODS_PRICE_d_total_debt_max,2044.5246,142,0.8316,0.75751
34,f001_AMT_GOODS_PRICE-d-AMT_INCOME_TOTAL,2043.11041,211,0.82989,0.75655
3,f101_active_interest_rate_min,2040.82023,150,0.84126,0.76227
6,f101_completed_AMT_ANNUITY_s_app_AMT_ANNUITY_d_app_AMT_INCOME_TOTAL_max,2036.8789,122,0.8483,0.76456
15,f101_nyg_low_normal_AMT_CREDIT_d_AMT_APPLICATION_max,2036.71692,150,0.83389,0.75746
12,f101_nyg_high_amt_paid_sum,2033.25071,176,0.83419,0.75885
